private_entity,external_uri,external_label,confidence,linked
Lamellibranches,http://www.wikidata.org/entity/Q25368,Bivalvia,0.85,True
Hectocotyle Patte,,,0.0,False
Portail des mollusques,,,0.0,False
Portugais,http://www.wikidata.org/entity/Q5146,portugais,1.0,True
Espagnols,http://www.wikidata.org/entity/Q160894,Espagnols,1.0,True
Italiens,http://www.wikidata.org/entity/Q50001,Italiens,1.0,True
Grecs,http://www.wikidata.org/entity/Q539051,Grecs,1.0,True
Turcs,http://www.wikidata.org/entity/Q84072,Turcs,1.0,True
Indiens,http://www.wikidata.org/entity/Q862086,Indiens,1.0,True
Japonais,http://www.wikidata.org/entity/Q5287,japonais,1.0,True
Coréens,http://www.wikidata.org/entity/Q484464,Coréens,1.0,True
Portugal,http://www.wikidata.org/entity/Q45,Portugal,1.0,True
lulas,http://www.wikidata.org/entity/Q81900,Teuthida,0.85,True
Algarve,http://www.wikidata.org/entity/Q26831,Algarve,1.0,True
Sardaigne,http://www.wikidata.org/entity/Q1462,Sardaigne,1.0,True
Chypre,http://www.wikidata.org/entity/Q229,Chypre,1.0,True
Espagne,http://www.wikidata.org/entity/Q29,Espagne,1.0,True
Turquie,http://www.wikidata.org/entity/Q43,Turquie,1.0,True
calamares,http://www.wikidata.org/entity/Q28709823,Calamares,1.0,True
Croatie,http://www.wikidata.org/entity/Q224,Croatie,1.0,True
Monténégro,http://www.wikidata.org/entity/Q236,Monténégro,1.0,True
Bulgarie,http://www.wikidata.org/entity/Q219,Bulgarie,1.0,True
Roumanie,http://www.wikidata.org/entity/Q218,Roumanie,1.0,True
Russie,http://www.wikidata.org/entity/Q159,Russie,1.0,True
Inde,http://www.wikidata.org/entity/Q668,Inde,1.0,True
Sri Lanka,http://www.wikidata.org/entity/Q854,Sri Lanka,1.0,True
Tamil Nadu,http://www.wikidata.org/entity/Q1445,Tamil Nadu,1.0,True
Kerala,http://www.wikidata.org/entity/Q1186,Kerala,1.0,True
Chine,http://www.wikidata.org/entity/Q148,République populaire de Chine,0.85,True
Thaïlande,http://www.wikidata.org/entity/Q869,Thaïlande,1.0,True
Taïwan,http://www.wikidata.org/entity/Q865,Taïwan,1.0,True
Asie du Sud-Est,http://www.wikidata.org/entity/Q11708,Asie du Sud-Est,1.0,True
Hong Kong,http://www.wikidata.org/entity/Q8646,Hong Kong,1.0,True
Taiwan,http://www.wikidata.org/entity/Q865,Taïwan,0.85,True
Corée,http://www.wikidata.org/entity/Q28179,période Joseon,0.85,True
san ojingo,,,0.0,False
jeotgal,http://www.wikidata.org/entity/Q3209086,Jeotgalicoccus,0.85,True
banchan,http://www.wikidata.org/entity/Q716245,Banchan,1.0,True
Apports,http://www.wikidata.org/entity/Q1412867,Apports nutritionnels conseillés,0.85,True
B12,http://www.wikidata.org/entity/Q795254,B12,1.0,True
Asie de l'Est,http://www.wikidata.org/entity/Q27231,Asie de l'Est,1.0,True
risotto al nero di seppia,http://www.wikidata.org/entity/Q16596895,Risotto al nero di seppia,1.0,True
Venise,http://www.wikidata.org/entity/Q906255,Venise,1.0,True
Adriatique,http://www.wikidata.org/entity/Q2825088,Adriatique,1.0,True
Nero,http://www.wikidata.org/entity/Q1413,Néron,0.85,True
Setúbal,http://www.wikidata.org/entity/Q173699,Setúbal,1.0,True
Sète,http://www.wikidata.org/entity/Q191141,Sète,1.0,True
îles Anglo-Normandes,http://www.wikidata.org/entity/Q42314,îles Anglo-Normandes,1.0,True
Antilles,http://www.wikidata.org/entity/Q166131,Antilles,1.0,True
Préparations,http://www.wikidata.org/entity/Q7240618,Preparations,0.85,True
liège,http://www.wikidata.org/entity/Q3992,Liège,1.0,True
Hawaii,http://www.wikidata.org/entity/Q782,Hawaï,0.85,True
Hawaï,http://www.wikidata.org/entity/Q782,Hawaï,1.0,True
galicienne,,,0.0,False
Djerba,http://www.wikidata.org/entity/Q188938,Djerba,1.0,True
USDA Nutrient Database,,,0.0,False
B3,http://www.wikidata.org/entity/Q796297,Bourse de São Paulo,0.85,True
Alimentation et gastronomie,,,0.0,False
AphiaID,,,0.0,False
marinespecies.org,,,0.0,False
Classification Biota Animalia,,,0.0,False
Kingdom,http://www.wikidata.org/entity/Q62692987,Kingdom,1.0,True
Phylum,http://www.wikidata.org/entity/Q38348,phylum,1.0,True
Class,http://www.wikidata.org/entity/Q18204,classe,0.85,True
Subclass,http://www.wikidata.org/entity/Q5867051,sous-classe,0.85,True
Octopodiformes,http://www.wikidata.org/entity/Q340867,Octobrachia,0.85,True
Superorder,http://www.wikidata.org/entity/Q5868144,super-ordre,0.85,True
Octopoda,http://www.wikidata.org/entity/Q40152,Octopoda,1.0,True
Order,http://www.wikidata.org/entity/Q36602,ordre,0.85,True
Octopodoidea,http://www.wikidata.org/entity/Q20817899,Octopodoidea,1.0,True
Superfamily,http://www.wikidata.org/entity/Q2136103,super-famille,0.85,True
Family,http://www.wikidata.org/entity/Q8436,famille,0.85,True
Genus,http://www.wikidata.org/entity/Q34740,genre,0.85,True
Species,http://www.wikidata.org/entity/Q7432,espèce,0.85,True
Status,http://www.wikidata.org/entity/Q1641446,état construit,0.85,True
Original name Octopus vulgaris Cuvier,,,0.0,False
Synonymised names Octopus albus Rafinesque,,,0.0,False
Blainville,http://www.wikidata.org/entity/Q667315,Blainville-sur-Mer,0.85,True
Octopus cassiopeia Gray,,,0.0,False
spelling of...),,,0.0,False
spelling of specific,,,0.0,False
Octopus heteropus Rafinesque,,,0.0,False
Octopus niger Rafinesque,,,0.0,False
Octopus rugosus,http://www.wikidata.org/entity/Q107022339,Octopus rugosus,1.0,True
Octopus tetradynamus Rafinesque,,,0.0,False
Bosc,http://www.wikidata.org/entity/Q42749153,Bosc,1.0,True
Environment marine,,,0.0,False
fresh,http://www.wikidata.org/entity/Q37443205,Fresh,1.0,True
Original description Cuvier,,,0.0,False
Elementary table of the natural,,,0.0,False
Baudoin,http://www.wikidata.org/entity/Q37517953,Baudoin,1.0,True
Paris.</em> i-xvi,,,0.0,False
Pl,http://www.wikidata.org/entity/Q146786,pluriel,0.85,True
Descriptive notes,http://www.wikidata.org/entity/Q51388009,Descriptive notes on Papuan plants,0.85,True
Nomenclature ICZN,,,0.0,False
Distribution circum,http://www.wikidata.org/entity/Q63843623,Distribution Circumferential Versus Non Circumferential of Mepivacaine in the Median and Ulnar Nerves,0.85,True
Distribution Western,,,0.0,False
Occurs primarily south of Cape Hatteras,,,0.0,False
MolluscaBase eds.,,,0.0,False
MolluscaBase,http://www.wikidata.org/entity/Q111787318,MolluscaBase,1.0,True
Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140605,,,0.0,False
Date action,,,0.0,False
License,http://www.wikidata.org/entity/Q79719,licence,0.85,True
Documented,http://www.wikidata.org/entity/Q5287678,Documented,1.0,True
Attributes,http://www.wikidata.org/entity/Q4818719,attributs de Dieu dans le christianisme,0.85,True
Vernaculars,http://www.wikidata.org/entity/Q136482561,Vernaculars in an Age of World Literatures,0.85,True
Links,http://www.wikidata.org/entity/Q471008,Links,1.0,True
Images,http://www.wikidata.org/entity/Q1659622,Images,1.0,True
Nomenclature,http://www.wikidata.org/entity/Q863247,nomenclature,1.0,True
Nice,http://www.wikidata.org/entity/Q33959,Nice,1.0,True
Alpes Maritimes,http://www.wikidata.org/entity/Q3139,Alpes-Maritimes,0.85,True
F.G. Levrault,,,0.0,False
Myriapodes,http://www.wikidata.org/entity/Q25823,Myriapoda,0.85,True
Radiaires,http://www.wikidata.org/entity/Q3416453,Radiaire,0.85,True
Malacoz,http://www.wikidata.org/entity/Q190993,malacologie,0.85,True
